incorrect	correct
hà	à
cã	cả
ạk	ạ
zì	gì
đễ	để
qq	quằn què
dì	gì
pị	bị
gẻ	rẻ
re	rẻ
rẽ	rẻ
nv	nhân viên
zử	dữ
zữ	dữ
zụ	dụ
zư	dư
zú	vú
ừk	ừ
đỉ	đĩ
ôg	ông
cv	công việc
pn	bạn
ák	á
xg	xuống
dz	đẹp trai
qà	quà
zà	già
lz	làm gì
qả	quả
òy	rồi
vc	vợ chồng
mk	mình
bn	bạn
cj	chị
ck	chồng
gđ	gia đình
oh	ồ
vk	vợ
sg	sài gòn
ah	à
ạh	ạ
rì	gì
vn	việt nam
àk	à
uh	ừ
tq	trung quốc
ak	à
ad	admin
ny	người yêu
zẻ	vẻ
đt	điện thoại
vđ	vãi đái
vv	vui vẻ
kh	không
zạ	vậy
oy	rồi
ik	ý
ce	chị em
lm	làm
đz	đẹp giai
sr	sorry
vd	ví dụ
àh	à
ku	cu
0	không
1	một
2	hai
3	ba
4	bốn
5	năm
6	sáu
7	bảy
8	tám
9	chín
k	không
nhiet tinh nhan vien	nhiệt tình nhân viên
tuong doi chat luong	tương đối chất lượng
hang hoa chat luong	hàng hoá chất lượng
san pham chat luong	sản phẩm chất lượng
khong the xac minh	không thể xác minh
phu hop chat luong	phù hợp chất lượng
thanh toan hoa don	thanh toán hóa đơn
thong bao ung dung	thông báo ứng dụng
xac thuc tai khoan	xác thực tài khoản
dien thoai di dong	điện thoại di động
khong trach nhiem	không trách nhiệm
mot so thanh phan	một số thành phần
nhiet tinh cam on	nhiệt tình cảm ơn
khach hang khong	khách hàng không
khong trung thuc	không trung thực
khong van chuyen	không vận chuyển
kinh khung khiep	kinh khủng khiếp
thoa suc mua sam	thỏa sức mua sắm
cao ngat nguong	cao ngất ngưởng
cuoc van chuyen	cước vận chuyển
khong kich hoat	không kích hoạt
lam an gian doi	làm ăn gian dối
lam an gian lan	làm ăn gian lận
nhanh chong mat	nhanh chóng mặt
pham chat luong	phẩm chất lượng
tien van chuyen	tiền vận chuyển
tinh chat luong	tính chất lượng
tuong doi nhanh	tương đối nhanh
tong thanh toan	tổng thanh toán
van chuyen giao	vận chuyển giao
van chuyen minh	vận chuyển mình
dien thoai nhap	điện thoại nhập
dien thoai vien	điện thoại viên
dam bao an toan	đảm bảo an toàn
ba ria vung tau	bà rịa vũng tàu
biet bao nhieu	biết bao nhiêu
giam gia thanh	giảm giá thành
hinh nhan vien	hình nhân viên
khach hang huy	khách hàng hủy
khong the hien	không thể hiện
lap trinh vien	lập trình viên
ngay sinh nhat	ngày sinh nhật
thanh toan hoa	thanh toán hóa
thieu phu kien	thiếu phụ kiện
thich ung dung	thích ứng dụng
tien tai khoan	tiền tài khoản
truc tiep nhan	trực tiếp nhận
tinh thanh pho	tỉnh thành phố
don phuong huy	đơn phương hủy
duong day nong	đường dây nóng
dat hang khong	đặt hàng không
thua thien hue	thừa thiên huế
cao ngat troi	cao ngất trời
chuc nang huy	chức năng hủy
cong nghe cao	công nghệ cao
hien hinh anh	hiện hình ảnh
hang hieu qua	hàng hiệu quả
hang dau tien	hàng đầu tiên
hoc sinh vien	học sinh viên
khach hang ho	khách hàng họ
khach huy don	khách hủy đơn
khong the nao	không thể nào
luu thong tin	lưu thông tin
noi thanh pho	nội thành phố
quan tri vien	quản trị viên
shope huy don	shope hủy đơn
san pham chat	sản phẩm chất
thong bao huy	thông báo hủy
tinh nang huy	tính năng hủy
tot ngay cang	tốt ngày càng
tong dai vien	tổng đài viên
vo thanh toan	vô thanh toán
bao ung dung	báo ứng dụng
cao san pham	cao sản phẩm
chuyen huong	chuyển hướng
chuyen khoan	chuyển khoản
chuong trinh	chương trình
cai tro choi	cái trò chơi
co nhan vien	có nhân viên
doanh nghiep	doanh nghiệp
giam gia nhu	giảm giá như
hien thi gia	hiển thị giá
hang hoa don	hàng hóa đơn
hang hoa toc	hàng hỏa tốc
hang huy don	hàng hủy đơn
hang phuc vu	hàng phục vụ
khinh thuong	khinh thường
khuyen khich	khuyến khích
ket noi mang	kết nối mạng
loang ngoang	loằng ngoằng
lam tro choi	làm trò chơi
lam an khong	làm ăn không
mot chut xiu	một chút xíu
nghiem trong	nghiêm trọng
niem yet gia	niêm yết giá
phu hop nhat	phù hợp nhất
shop huy don	shop hủy đơn
suy nghi lai	suy nghĩ lại
san pham gia	sản phẩm giá
thong thuong	thông thường
thuong luong	thương lượng
thuong xuyen	thường xuyên
the thao tac	thể thao tác
thinh thoang	thỉnh thoảng
truyen tranh	truyện tranh
tui tien mat	túi tiền mặt
xem mat hang	xem mặt hàng
xoa san pham	xóa sản phẩm
yen tam giao	yên tâm giao
danh gia nhu	đánh giá như
don gian hoa	đơn giản hóa
dat hang huy	đặt hàng hủy
bao lau nay	bao lâu nay
binh thuong	bình thường
bao huy don	bảo hủy đơn
bay lau nay	bấy lâu nay
chien thang	chiến thắng
chong chong	chong chóng
chuyen giao	chuyển giao
chuyen phat	chuyển phát
chop nhoang	chớp nhoáng
co nghia la	có nghĩa là
gian thuong	gian thương
giai thuong	giải thưởng
giam gia ca	giảm giá cả
hoan nghenh	hoan nghênh
hoanh trang	hoành tráng
huyen thoai	huyền thoại
huan chuong	huân chương
ho tro giup	hỗ trợ giúp
khoang cach	khoảng cách
khuyet diem	khuyết điểm
khong nhung	không những
khong trung	không trung
khong trach	không trách
khong tuong	không tưởng
khung khiep	khủng khiếp
kinh nghiem	kinh nghiệm
kiem nghiem	kiểm nghiệm
lam an gian	làm ăn gian
lam an thua	làm ăn thua
mat cau xin	mặt cầu xin
ngang nguoc	ngang ngược
ngang nhien	ngang nhiên
nghiem khac	nghiêm khắc
nghiem ngat	nghiêm ngặt
ngoai thanh	ngoại thành
nguyen nhan	nguyên nhân
ngat nguong	ngất ngưởng
ngoc nghech	ngốc nghếch
nhung nhieu	nhũng nhiễu
phien nhieu	phiền nhiễu
phuong cham	phương châm
phuong dien	phương diện
phuong phap	phương pháp
phuong thuc	phương thức
phuong tien	phương tiện
phan thuong	phần thưởng
ra tro choi	ra trò chơi
rung chuyen	rung chuyển
thien duong	thiên đường
thuyet phuc	thuyết phục
thuong hieu	thương hiệu
thuong ngay	thường ngày
that thuong	thất thường
thinh vuong	thịnh vượng
tieu thuyet	tiểu thuyết
tieu thuong	tiểu thương
trung thanh	trung thành
truyen hinh	truyền hình
trach nhiem	trách nhiệm
trinh duyet	trình duyệt
trong luong	trọng lượng
trong khong	trống không
tuong thich	tương thích
tuong duong	tương đương
tuong tuong	tưởng tượng
vo san pham	vô sản phẩm
xem xet lai	xem xét lại
xu ly su co	xử lý sự cố
yeu cau huy	yêu cầu hủy
dang ki ten	đăng kí tên
duong nhien	đương nhiên
ho chi minh	hồ chí minh
thai nguyen	thái nguyên
tuyen quang	tuyên quang
anh chi em	anh chị em
bieu tuong	biểu tượng
binh duong	bình dương
bang thong	băng thông
bat thuong	bất thường
bat dau tu	bắt đầu từ
bang chung	bằng chứng
boi thuong	bồi thường
bong nhien	bỗng nhiên
cao gia ca	cao giá cả
chiem dung	chiếm dụng
chiem doat	chiếm đoạt
chien dich	chiến dịch
chien luoc	chiến lược
chiet khau	chiết khấu
chuyen gia	chuyên gia
chuyen mon	chuyên môn
chuyen doi	chuyển đổi
chan thanh	chân thành
chenh lech	chênh lệch
chinh sach	chính sách
chinh thuc	chính thức
chinh dang	chính đáng
chi bao ve	chỉ bảo vệ
chung loai	chủng loại
chung minh	chứng minh
chung nhan	chứng nhận
chung thuc	chứng thực
coi thuong	coi thường
con nghien	con nghiện
cuoc chien	cuộc chiến
cau chuyen	câu chuyện
co the nao	có thể nào
cang thang	căng thẳng
canh tranh	cạnh tranh
cau nguyen	cầu nguyện
danh tieng	danh tiếng
dung luong	dung lượng
day chuyen	dây chuyền
giang sinh	giáng sinh
giai thich	giải thích
gioi thieu	giới thiệu
giua chung	giữa chừng
hien tuong	hiện tượng
hoan chinh	hoàn chỉnh
hoan thien	hoàn thiện
hoan thanh	hoàn thành
hang khong	hàng không
hanh chinh	hành chính
hanh trinh	hành trình
hinh tuong	hình tượng
hong ngoai	hồng ngoại
ho tro gia	hỗ trợ giá
khuyen cao	khuyến cáo
khach quan	khách quan
khong gian	không gian
khong kheo	không khéo
khau trang	khẩu trang
khang dinh	khẳng định
khoi luong	khối lượng
kinh khung	kinh khủng
kien giang	kiên giang
kiem chung	kiểm chứng
kiem duyet	kiểm duyệt
kich thich	kích thích
kich thuoc	kích thước
lazada huy	lazada hủy
lazada nua	lazada nửa
luoi bieng	lười biếng
lich trinh	lịch trình
mang tieng	mang tiếng
moi truong	môi trường
ngang ngua	ngang ngửa
nghiem tuc	nghiêm túc
nghien cuu	nghiên cứu
nghe thuat	nghệ thuật
ngoai tinh	ngoại tỉnh
nguyen tac	nguyên tắc
nguyen ven	nguyên vẹn
nganh hang	ngành hàng
ngay thang	ngày tháng
ngay truoc	ngày trước
nguoi than	người thân
ngac nhien	ngạc nhiên
ngau nhien	ngẫu nhiên
ngo nghinh	ngộ nghĩnh
nhanh nhay	nhanh nhạy
nhanh nhen	nhanh nhẹn
nhiet tinh	nhiệt tình
nhin chung	nhìn chung
nhu thuong	như thường
nhuoc diem	nhược điểm
nhat quyet	nhất quyết
nhat thiet	nhất thiết
niem phong	niêm phong
noi chuyen	nói chuyện
nuoc ngoai	nước ngoài
phien long	phiền lòng
phien phuc	phiền phức
phien toai	phiền toái
phong cach	phong cách
phat trien	phát triển
phai chang	phải chăng
quan trong	quan trọng
quen thuoc	quen thuộc
quyet dinh	quyết định
quang ninh	quảng ninh
quay nhieu	quấy nhiễu
rieng biet	riêng biệt
sang trong	sang trọng
than phien	than phiền
thanh nien	thanh niên
thanh than	thanh thản
thanh toan	thanh toán
thanh xuan	thanh xuân
thi thoang	thi thoảng
thiet nghi	thiết nghĩ
thiet thuc	thiết thực
thiet thoi	thiệt thòi
thoai thac	thoái thác
thuan tien	thuận tiện
thuat toan	thuật toán
thanh cong	thành công
thanh phan	thành phần
thanh that	thành thật
thanh vien	thành viên
thach thuc	thách thức
than thiet	thân thiết
than thien	thân thiện
thinh linh	thình lình
thich dang	thích đáng
thong dung	thông dụng
thong minh	thông minh
thong thai	thông thái
thong diep	thông điệp
thong dong	thông đồng
thuong mai	thương mại
thanh thoi	thảnh thơi
than trong	thận trọng
thi truong	thị trường
thong nhat	thống nhất
thoi trang	thời trang
thu nghiem	thử nghiệm
tinh tuong	tinh tường
tieu chuan	tiêu chuẩn
tien trien	tiến triển
tien trinh	tiến trình
trang phuc	trang phục
tranh chap	tranh chấp
trung quoc	trung quốc
trung thuc	trung thực
trung tinh	trung tính
tran trong	trân trọng
tro chuyen	trò chuyện
tram nghin	trăm nghìn
truoc tien	trước tiên
truong hop	trường hợp
trang thai	trạng thái
tram trong	trầm trọng
trang tinh	trắng tinh
trang toat	trắng toát
trong vong	trọng vọng
tron tranh	trốn tránh
trong tron	trống trơn
truc tuyen	trực tuyến
tuyen chon	tuyển chọn
tuyet giao	tuyệt giao
tuyet pham	tuyệt phẩm
tuyet dinh	tuyệt đỉnh
tai nguyen	tài nguyên
tinh huong	tình huống
tinh trang	tình trạng
tang cuong	tăng cường
tuong xung	tương xứng
tinh thanh	tỉnh thành
toi uu hoa	tối ưu hóa
tot so mot	tốt số một
toi nghiep	tội nghiệp
tu huy don	tự hủy đơn
uy tin chi	uy tín chỉ
vao khoang	vào khoảng
vuong mien	vương miện
xem thuong	xem thường
xoa lazada	xóa lazada
yeu cau la	yêu cầu là
yeu thuong	yêu thương
dieu chinh	điều chỉnh
dieu khien	điều khiển
dieu khoan	điều khoản
dien thoai	điện thoại
dien tu so	điện tử số
dang hoang	đàng hoàng
don phuong	đơn phương
dau truong	đấu trường
dia chi so	địa chỉ số
dia phuong	địa phương
dong nghia	đồng nghĩa
binh phuoc	bình phước
binh thuan	bình thuận
ninh thuan	ninh thuận
quang binh	quảng bình
quang ngai	quảng ngãi
tien giang	tiền giang
bao nhieu	bao nhiêu
biet dieu	biết điều
bien phap	biện pháp
bong bong	bong bóng
buon cuoi	buồn cười
binh chon	bình chọn
binh luan	bình luận
ban khoan	băn khoăn
ban quyen	bản quyền
bat luong	bất lương
bay nhieu	bấy nhiêu
bat chuoc	bắt chước
bong dung	bỗng dưng
can thiep	can thiệp
chi nhanh	chi nhánh
chieu tro	chiêu trò
chieu hom	chiều hôm
chieu toi	chiều tối
chuan muc	chuẩn mực
chuan xac	chuẩn xác
chao mung	chào mừng
chan ngat	chán ngắt
chan that	chân thật
chan thuc	chân thực
che trach	chê trách
chinh xac	chính xác
chong mat	chóng mặt
chu thich	chú thích
chu trong	chú trọng
chuc mung	chúc mừng
chung may	chúng mày
chung toi	chúng tôi
chang nua	chăng nữa
choi kham	chơi khăm
chap nhan	chấp nhận
chat lieu	chất liệu
cham chap	chậm chạp
chap chon	chập chờn
chac chan	chắc chắn
chang han	chẳng hạn
chang qua	chẳng qua
chang the	chẳng thể
chet tiet	chết tiệt
chi trich	chỉ trích
chinh sua	chỉnh sửa
chinh don	chỉnh đốn
chiu thua	chịu thua
chiu dung	chịu đựng
chup giat	chụp giật
chua chap	chứa chấp
chuc nang	chức năng
coi chung	coi chừng
coi trong	coi trọng
con nguoi	con người
cung cach	cung cách
cuoi cung	cuối cùng
cuoc song	cuộc sống
cach thuc	cách thức
canh cung	cánh cứng
cap quang	cáp quang
cau khach	câu khách
cong bang	công bằng
cong dung	công dụng
cong khai	công khai
cong nghe	công nghệ
cong viec	công việc
cong doan	công đoạn
cuong luc	cường lực
canh giac	cảnh giác
can trong	cẩn trọng
cong kenh	cồng kềnh
cong dong	cộng đồng
cung nhac	cứng nhắc
danh sach	danh sách
di chuyen	di chuyển
dien vien	diễn viên
dung dich	dung dịch
dung tung	dung túng
dung dang	dùng dằng
duong nhu	dường như
de thuong	dễ thương
dich benh	dịch bệnh
dung dung	dửng dưng
giai doan	giai đoạn
gian hang	gian hàng
giao dien	giao diện
giao nhan	giao nhận
giao tiep	giao tiếp
gia thanh	giá thành
gian doan	gián đoạn
giai ngan	giải ngân
giai phap	giải pháp
giay phep	giấy phép
giat minh	giật mình
giong het	giống hệt
guong gao	gượng gạo
hiu quanh	hiu quạnh
hieu biet	hiểu biết
hien hinh	hiện hình
hieu nang	hiệu năng
hieu suat	hiệu suất
hoan canh	hoàn cảnh
hoan toan	hoàn toàn
hoat dong	hoạt động
huong chi	huống chi
hang hieu	hàng hiệu
hang loat	hàng loạt
hang xach	hàng xách
hanh dong	hành động
hach dich	hách dịch
hinh dung	hình dung
hinh dang	hình dáng
hinh thuc	hình thức
huong dan	hướng dẫn
hanh phuc	hạnh phúc
hat giong	hạt giống
hai duong	hải dương
hoi thoai	hội thoại
khieu dam	khiêu dâm
khieu nai	khiếu nại
khuon mat	khuôn mặt
khac biet	khác biệt
khach huy	khách hủy
khai niem	khái niệm
khoi phuc	khôi phục
khong huy	không hủy
khong khi	không khí
khong luu	không lưu
khong the	không thể
khong dau	không đâu
khac phuc	khắc phục
khoi dong	khởi động
kim cuong	kim cương
kinh ngac	kinh ngạc
kien nhan	kiên nhẫn
kien nghi	kiến nghị
kien thuc	kiến thức
kiem nhan	kiểm nhận
kiem soat	kiểm soát
kiem dinh	kiểm định
kieu cach	kiểu cách
kieu dang	kiểu dáng
keo mieng	kéo miệng
kich hoat	kích hoạt
linh hoat	linh hoạt
linh kien	linh kiện
linh dong	linh động
lien minh	liên minh
lien mien	liên miên
lien tiep	liên tiếp
loai hinh	loại hình
lam bieng	làm biếng
lam khach	làm khách
lam phien	làm phiền
lanh manh	lành mạnh
len tieng	lên tiếng
long vong	lòng vòng
ly do huy	lý do hủy
luu luong	lưu lượng
luong tam	lương tâm
lai giong	lại giống
lap trinh	lập trình
lang nghe	lắng nghe
long hanh	lộng hành
lon tieng	lớn tiếng
loi nhuan	lợi nhuận
mau chong	mau chóng
minh bach	minh bạch
mien giam	miễn giảm
mong muon	mong muốn
may khoan	máy khoan
mang khoe	mạng khỏe
mat chuot	mắt chuột
mong manh	mỏng manh
mot so it	một số ít
nghiep du	nghiệp dư
nghiep vu	nghiệp vụ
ngheo nan	nghèo nàn
nghi ngoi	nghỉ ngơi
nghi viec	nghỉ việc
ngon lanh	ngon lành
ngoai mat	ngoài mặt
ngoai tru	ngoại trừ
ngoan muc	ngoạn mục
nguy hiem	nguy hiểm
nguon goc	nguồn gốc
ngay cang	ngày càng
ngan ngam	ngán ngẩm
ngan hang	ngân hàng
ngan chan	ngăn chặn
nguoi lam	người làm
nguoi lon	người lớn
nguoi may	người máy
nguoi mau	người mẫu
nguoi nha	người nhà
nguoi yeu	người yêu
nguoc lai	ngược lại
ngan ngai	ngần ngại
ngam ngui	ngậm ngùi
ngap tran	ngập tràn
nhieu khe	nhiêu khê
nham chan	nhàm chán
nhan cach	nhân cách
nhan pham	nhân phẩm
nhan hieu	nhãn hiệu
nhi nhang	nhì nhằng
nhan nheo	nhăn nheo
nhu khong	như không
nhan manh	nhấn mạnh
nhap nhay	nhấp nháy
nhat dinh	nhất định
nhan biet	nhận biết
nhan dien	nhận diện
nhan dinh	nhận định
nhap khau	nhập khẩu
nhe nhang	nhẹ nhàng
nhoi nhet	nhồi nhét
nen nguoi	nên người
noi chung	nói chung
noi rieng	nói riêng
noi thang	nói thẳng
nong thon	nông thôn
nong trai	nông trại
nam ngoai	năm ngoái
nam thang	năm tháng
nang dong	năng động
nang nong	nắng nóng
noi tieng	nổi tiếng
noi thanh	nội thành
phong phu	phong phú
phap luat	pháp luật
phat hien	phát hiện
phat hanh	phát hành
phat sinh	phát sinh
phan biet	phân biệt
phan chia	phân chia
phan giai	phân giải
phan loai	phân loại
phan phoi	phân phối
phe duyet	phê duyệt
phong chu	phông chữ
phuong an	phương án
pham luat	phạm luật
phan tram	phần trăm
pho thong	phổ thông
phu thuoc	phụ thuộc
phu trach	phụ trách
quan diem	quan điểm
quay vong	quay vòng
quy trinh	quy trình
quyen luc	quyền lực
qua chung	quá chừng
qua trinh	quá trình
quen minh	quên mình
quy khach	quý khách
quang nam	quảng nam
quan jean	quần jean
rang buoc	ràng buộc
sendo huy	sendo hủy
shope huy	shope hủy
sinh hoat	sinh hoạt
sinh nhat	sinh nhật
sinh vien	sinh viên
sieu nhan	siêu nhân
sang suot	sáng suốt
song nhan	sống nhăn
tham khao	tham khảo
thanh hoa	thanh hóa
thanh loc	thanh lọc
thiet lap	thiết lập
thiet yeu	thiết yếu
thieu sot	thiếu sót
thien chi	thiện chí
thien cam	thiện cảm
thiet hai	thiệt hại
thoai mai	thoải mái
thu hoach	thu hoạch
thuan loi	thuận lợi
thanh lap	thành lập
thanh pho	thành phố
thai binh	thái bình
thang mot	tháng một
thich hop	thích hợp
thich thu	thích thú
thich ung	thích ứng
thoi quen	thói quen
thong cam	thông cảm
thong qua	thông qua
thuong de	thượng đế
than kinh	thần kinh
thay cung	thầy cúng
thay giao	thầy giáo
tham dinh	thẩm định
that tinh	thật tình
thang loi	thắng lợi
that lung	thắt lưng
thang cha	thằng cha
thang tay	thẳng tay
the thong	thể thống
thoi buoi	thời buổi
thoi gian	thời gian
thoi tiet	thời tiết
thoi diem	thời điểm
thuy tinh	thủy tinh
thua nhan	thừa nhận
thu thach	thử thách
thuc chat	thực chất
thuc dung	thực dụng
thuc hien	thực hiện
thuc pham	thực phẩm
tinh than	tinh thần
tieu dung	tiêu dùng
tien hanh	tiến hành
tiep dien	tiếp diễn
tiep nhan	tiếp nhận
tiet kiem	tiết kiệm
tiem nang	tiềm năng
tiec tung	tiệc tùng
tien nghi	tiện nghi
toan dien	toàn diện
toan quoc	toàn quốc
trang chu	trang chủ
trang suc	trang sức
trang tri	trang trí
tranh thu	tranh thủ
trung tam	trung tâm
trinh bay	trình bày
trung lap	trùng lặp
tram ngan	trăm ngàn
trung bay	trưng bày
truoc het	trước hết
truoc kia	trước kia
truoc mat	trước mắt
truoc nay	trước nay
truoc sau	trước sau
truoc day	trước đây
tram ngam	trầm ngâm
tray xuoc	trầy xước
trang boc	trắng bóc
trang xoa	trắng xoá
trong tam	trọng tâm
tro thanh	trở thành
truc trac	trục trặc
truc quan	trực quan
truc tiep	trực tiếp
tuy nhien	tuy nhiên
tuyet hao	tuyệt hảo
tuyet doi	tuyệt đối
tai chinh	tài chính
tai khoan	tài khoản
tac phong	tác phong
tam trang	tâm trạng
tinh hinh	tình hình
tin nhiem	tín nhiệm
tinh chat	tính chất
tinh dung	tính dụng
tinh giao	tính giao
tinh nang	tính năng
tinh toan	tính toán
ton trong	tôn trọng
tuy chinh	tùy chỉnh
tuy nguoi	tùy người
tuy thich	tùy thích
tuong lai	tương lai
tuong tac	tương tác
tuong doi	tương đối
tuong ung	tương ứng
tat nhien	tất nhiên
tap trung	tập trung
tac trach	tắc trách
ti le huy	tỉ lệ hủy
toi thieu	tối thiểu
tong cong	tổng cộng
tong quan	tổng quan
tong tien	tổng tiền
tung trai	từng trải
vui suong	vui sướng
vui thich	vui thích
vong tron	vòng tròn
vo toi va	vô tội vạ
van phong	văn phòng
vinh biet	vĩnh biệt
vinh vien	vĩnh viễn
vuot troi	vượt trội
vung manh	vững mạnh
xong xuoi	xong xuôi
xuat hien	xuất hiện
xuong cap	xuống cấp
xuong doc	xuống dốc
xet duyet	xét duyệt
xoa shope	xóa shope
dien tiet	điên tiết
dieu hanh	điều hành
dieu kien	điều kiện
diem danh	điểm danh
dien hinh	điển hình
danh cuoc	đánh cược
danh trao	đánh tráo
duong dan	đường dẫn
duoc viec	được việc
dinh menh	định mệnh
doi tuong	đối tượng
dong hanh	đồng hành
dong kiem	đồng kiểm
dong loat	đồng loạt
dong nhat	đồng nhất
dong thoi	đồng thời
dong tien	đồng tiền
doc quyen	độc quyền
dong thai	động thái
dong vien	động viên
dot nhien	đột nhiên
ua chuong	ưa chuộng
anh huong	ảnh hưởng
bac giang	bắc giang
binh dinh	bình định
hai phong	hải phòng
hau giang	hậu giang
dien bien	điện biên
dong thap	đồng tháp
khanh hoa	khánh hòa
ninh binh	ninh bình
quang tri	quảng trị
soc trang	sóc trăng
vinh long	vĩnh long
vinh phuc	vĩnh phúc
rat nhanh	rất nhanh
anh hung	anh hùng
ban hanh	ban hành
ban ngay	ban ngày
bien ban	biên bản
biet bao	biết bao
biet may	biết mấy
biet dau	biết đâu
bieu cam	biểu cảm
buon ban	buôn bán
buon ghe	buồn ghê
buon ngu	buồn ngủ
buon non	buồn nôn
ban giao	bàn giao
ban phim	bàn phím
bach hoa	bách hóa
ban buon	bán buôn
ban chay	bán chạy
bat nhao	bát nháo
benh vuc	bênh vực
binh dan	bình dân
bang keo	băng keo
buu kien	bưu kiện
buu pham	bưu phẩm
buu dien	bưu điện
buoc dau	bước đầu
ban chat	bản chất
ban than	bản thân
bao hiem	bảo hiểm
bao quan	bảo quản
bat chap	bất chấp
bat cong	bất công
bat tien	bất tiện
ban cung	bần cùng
bau troi	bầu trời
ban thiu	bẩn thỉu
bat buoc	bắt buộc
bat nhap	bắt nhập
be ngoai	bề ngoài
ben vung	bền vững
bo phieu	bỏ phiếu
cai quan	cai quản
cao ngat	cao ngất
cao tuoi	cao tuổi
cao diem	cao điểm
chi tiet	chi tiết
cho cung	cho cùng
chuan bi	chuẩn bị
chao ban	chào bán
chan che	chán chê
chan nan	chán nản
chay tui	cháy túi
cho chet	chó chết
chot vot	chót vót
chung no	chúng nó
chung ta	chúng ta
chut xiu	chút xíu
cham chi	chăm chỉ
choi xau	chơi xấu
chua huy	chưa hủy
cham dut	chấm dứt
cham het	chấm hết
chan cho	chần chờ
chan chu	chần chừ
cham tre	chậm trễ
chang le	chẳng lẽ
chat che	chặt chẽ
chiu kho	chịu khó
chon loc	chọn lọc
chon lua	chọn lựa
cho troi	chợ trời
chu nhat	chủ nhật
chu dong	chủ động
chung cu	chứng cứ
chung to	chứng tỏ
chung tu	chứng từ
chui boi	chửi bới
chu viet	chữ viết
con chau	con cháu
cung ung	cung ứng
cuoc goi	cuộc gọi
cuoc doi	cuộc đời
can bang	cân bằng
can nhac	cân nhắc
co li do	có lí do
co ly do	có lý do
co nghia	có nghĩa
cong suc	công sức
cung kho	cùng khổ
cung nen	cũng nên
com dien	cơm điện
cuoc phi	cước phí
cai cach	cải cách
cai tien	cải tiến
cam bien	cảm biến
cam giac	cảm giác
cam nhan	cảm nhận
cam tinh	cảm tình
canh cao	cảnh cáo
cau hinh	cấu hình
cau mong	cầu mong
cau vong	cầu vồng
can than	cẩn thận
cap nhap	cập nhập
cap nhat	cập nhật
can nhan	cằn nhằn
co phieu	cổ phiếu
cuu giup	cứu giúp
cua minh	cửa mình
danh muc	danh mục
doanh so	doanh số
dung thu	dung thứ
duy nhat	duy nhất
dai dong	dài dòng
di nhien	dĩ nhiên
dau hieu	dấu hiệu
dep tiem	dẹp tiệm
du phong	dự phòng
ghi nhan	ghi nhận
gia dung	gia dụng
gia giao	gia giáo
gia nhap	gia nhập
gia tien	gia tiên
gia dinh	gia đình
gian doi	gian dối
gian lan	gian lận
gian tra	gian trá
gian xao	gian xảo
giang ho	giang hồ
giao hen	giao hẹn
giao huy	giao hủy
giay dep	giày dép
giam sat	giám sát
giam doc	giám đốc
giao duc	giáo dục
giup ich	giúp ích
gia danh	giả danh
giai tri	giải trí
giai tan	giải tán
giai dap	giải đáp
giam sut	giảm sút
gioi han	giới hạn
gio giac	giờ giấc
gop phan	góp phần
gang tay	găng tay
gau truc	gấu trúc
gat gong	gắt gỏng
gon gang	gọn gàng
hay biet	hay biết
hien thi	hiển thị
hien gio	hiện giờ
hien nay	hiện nay
hien tai	hiện tại
hien dai	hiện đại
hieu luc	hiệu lực
hieu qua	hiệu quả
hieu ung	hiệu ứng
hoa hong	hoa hồng
hoan hao	hoàn hảo
hoan tra	hoàn trả
hoan tat	hoàn tất
hai huoc	hài hước
han quoc	hàn quốc
hang cho	hàng chợ
hang huy	hàng hủy
hang xom	hàng xóm
hao hung	hào hứng
hinh mau	hình mẫu
hinh nhu	hình như
hinh anh	hình ảnh
hoi nuoc	hơi nước
hu khong	hư không
hang muc	hạng mục
het long	hết lòng
het minh	hết mình
he thong	hệ thống
hoc sinh	học sinh
hoi tham	hỏi thăm
hong hoc	hỏng hóc
hoi thuc	hối thúc
hoi phuc	hồi phục
hop dong	hợp đồng
hut hang	hụt hẫng
huy diet	hủy diệt
huy hang	hủy hàng
huy tinh	hủy tính
huy vong	hủy vọng
hung thu	hứng thú
keo kiet	keo kiệt
khai bao	khai báo
khoa hoc	khoa học
khac nao	khác nào
kham pha	khám phá
khi chat	khí chất
khich le	khích lệ
kho chiu	khó chịu
kho khan	khó khăn
kho tinh	khó tính
khong le	không lẽ
kha dung	khả dụng
kha nang	khả năng
kha quan	khả quan
khao sat	khảo sát
khat khe	khắt khe
khon nan	khốn nạn
khong lo	khổng lồ
khoi dau	khởi đầu
khung bo	khủng bố
kinh hon	kinh hồn
kinh tom	kinh tởm
kien tri	kiên trì
kien cao	kiện cáo
ko thich	ko thích
keu nhap	kêu nhập
kich cau	kích cầu
ki luong	kĩ lưỡng
ki thuat	kĩ thuật
ke hoach	kế hoạch
ket luan	kết luận
ket thuc	kết thúc
kip thoi	kịp thời
ky luong	kỹ lưỡng
ky thuat	kỹ thuật
lao dong	lao động
linh hon	linh hồn
lien lac	liên lạc
lien tuc	liên tục
lien tay	liền tay
loai tru	loại trừ
lam cong	làm công
lam giau	làm giàu
lam hang	làm hàng
lam quen	làm quen
lam tien	làm tiền
lam tron	làm tròn
lam viec	làm việc
lao nhao	láo nháo
lao toet	láo toét
lai suat	lãi suất
lang phi	lãng phí
lanh dao	lãnh đạo
ly tuong	lý tưởng
linh vuc	lĩnh vực
luu manh	lưu manh
luon leo	lươn lẹo
lam dung	lạm dụng
lap liem	lấp liếm
